source,codigo,descripcion,excel_quantity,source_quantity,difference
JSON activo inventory-products.json,TORRE-MARISCOS,Torre de mariscos con bandejas de 50 y 42cm con soportes,1.0,0.0,-1.0
JSON activo inventory-products.json,00-417608-00001,"Cabezal quemador, hornilla HOBART",6.0,0.0,-6.0
JSON activo inventory-products.json,00-417258-000G1,Quemador frontal HOBART,3.0,0.0,-3.0
JSON activo inventory-products.json,153027,Quemador horno calentador izquierda DUKE,4.0,0.0,-4.0
JSON activo inventory-products.json,00-417260-000G1,Quemador trasero HOBART,3.0,0.0,-3.0
JSON activo inventory-products.json,UNI-CLIMP,Quemadores Tipo Imperial Corto y Largo UNIVERSAL,5.0,0.0,-5.0
JSON activo inventory-products.json,AK002111,Espreas para valvula paso-53 CORIAT,10.0,9.0,-1.0
JSON activo inventory-products.json,10269,Perilla para estufa CORIAT,2.0,11.0,9.0
JSON activo inventory-products.json,AC000402,Termostato para horno ABJC CORIAT,2.0,4.0,2.0
JSON activo inventory-products.json,AC000205,Valvula para estufa CORIAT,4.0,9.0,5.0
JSON activo inventory-products.json,ASMTRE0101,"Aspa 4"" para motor esqueleto GENERICO",2.0,0.0,-2.0
JSON activo inventory-products.json,947039,"Aspa del ventilador, condensador, 8-3/4"" de diámetro, 5 aspas TRUE",1.0,2.0,1.0
JSON activo inventory-products.json,997816,Bandeja de drenaje en espiral TRUE,1.0,2.0,1.0
JSON activo inventory-products.json,823089,Bisagra con muelle para puerta TRUE,1.0,2.0,1.0
JSON activo inventory-products.json,CAB-CALEF,Cable calefactor para puertas de camara frigorifica por metro,17.0,0.0,-17.0
JSON activo inventory-products.json,CAB-NIQ10,Cable cobre niquelado forro de F.V. y silicon 200-300 cal 10 x metro,90.0,0.0,-90.0
JSON activo inventory-products.json,CAB-ATC14300,"Cable para alta temperatura silicón y fibra 300° Calibre 14 Cobre Niquelado, 600v x mt",60.0,0.0,-60.0
JSON activo inventory-products.json,QHA-6E,"Cables para calentadores de puertas, 6ft, 42w, 120v QUALITY",1.0,0.0,-1.0
JSON activo inventory-products.json,801805,Calentador línea de drenaje TRUE,0.0,2.0,2.0
JSON activo inventory-products.json,920158,Clip de estanteria TRUE,13.0,0.0,-13.0
JSON activo inventory-products.json,189-227MFD,Condensador Capacitor Arranque COLDTEK,1.0,0.0,-1.0
JSON activo inventory-products.json,P70LB-1C,Control de presion dual automatica PENN,1.0,0.0,-1.0
JSON activo inventory-products.json,800382,"Control De Temperatura, 077B6856 Kit #077B7163 TRUE",1.0,2.0,1.0
JSON activo inventory-products.json,TC-900E,Controlador digital baja temperatura,0.0,1.0,1.0
JSON activo inventory-products.json,810808,"Empaque 25-5/8 ""x 26-5/8"", T-23-2/49-4 TRUE",2.0,4.0,2.0
JSON activo inventory-products.json,0-6602,Filtro deshidratador EMERSON,1.0,0.0,-1.0
JSON activo inventory-products.json,945039,Filtro dos entradas TRUE,0.0,2.0,2.0
JSON activo inventory-products.json,SLP25-80,"Interrumpor baja presion Abre 25 psi Cierra 80 psi, 500 PP 3500 BP 1/4  SMART ELECTRIC",1.0,0.0,-1.0
JSON activo inventory-products.json,54127037,Interruptor controlador limit para horno AMANA,2.0,0.0,-2.0
JSON activo inventory-products.json,MPS30-50,Interruptor De Presion AQUEX,1.0,0.0,-1.0
JSON activo inventory-products.json,805143,Kit conector de cables TRUE,3.0,2.0,-1.0
JSON activo inventory-products.json,836833,Kit control de temperatura ERC112D TRUE,0.0,3.0,3.0
JSON activo inventory-products.json,219717,Kit control de temperatura LAEBIT25 TRUE,1.0,2.0,1.0
JSON activo inventory-products.json,836834,Kit control de temperatura sustituido por 848244 TRUE,1.0,2.0,1.0
JSON activo inventory-products.json,802803,Kit control universal BIT25 TRUE,2.0,3.0,1.0
JSON activo inventory-products.json,823236,"Kit de bandeja de desague, 220v TRUE",1.0,2.0,1.0
JSON activo inventory-products.json,870842,"Kit de bisagra de puerta, inferior derecha TRUE",1.0,2.0,1.0
JSON activo inventory-products.json,991224,Kit de reacondicionamiento de control electrico KITGDM TRUE,1.0,2.0,1.0
JSON activo inventory-products.json,992987,Kit de servicio de refrigerante R290 Propano TRUE,2.0,4.0,2.0
JSON activo inventory-products.json,ECR2-0831,"Motor INPUT 100-240vac,50-60 Hz, 0.19-0.10 A OUTPUT 13w 18000rpm, DUAL SPEED 1550rpm DOR:CCW-DE. WELLIGTON",12.0,0.0,-12.0
JSON activo inventory-products.json,821639,Motor retrofit TRUE,0.0,1.0,1.0
JSON activo inventory-products.json,VA-PROD10,Protector y relay universal AVALY,2.0,0.0,-2.0
JSON activo inventory-products.json,800182,Relay 25 A TRUE,1.0,2.0,1.0
JSON activo inventory-products.json,994353,Relay 832AW-1C-F-S1 12VDC 30A-277VAC TRUE,1.0,2.0,1.0
JSON activo inventory-products.json,835384,Sellador de silicon TRUE,1.0,2.0,1.0
JSON activo inventory-products.json,807408,Sensor de descarche TRUE,0.0,2.0,2.0
JSON activo inventory-products.json,807409,Sensor de temperatura TRUE,4.0,8.0,4.0
JSON activo inventory-products.json,807414,Sensor termisor 4m NTCEPC B57025M25,1.0,0.0,-1.0
JSON activo inventory-products.json,807415,Sensor termisor 4m NTCEPC B57025M2502AZ,2.0,0.0,-2.0
JSON activo inventory-products.json,807416,Sensor termisor TRUE,6.0,3.0,-3.0
JSON activo inventory-products.json,973396,Serpentin de evaporador TUC/TWT-27F,1.0,0.0,-1.0
JSON activo inventory-products.json,KCD2,Switch 4 polos Universal para vitrina,3.0,0.0,-3.0
JSON activo inventory-products.json,TAB-EQUI,Tablero de control para baja temperatura con selectores EQUIPSA,1.0,0.0,-1.0
JSON activo inventory-products.json,RV-100X204,Tanque de liquido 1.3L RV 100x204 FIGOMEC,1.0,0.0,-1.0
JSON activo inventory-products.json,831970,Transformador de 120v-24v TRUE,2.0,4.0,2.0
JSON activo inventory-products.json,851142,"Tubo capilar, 0,106"" de diámetro exterior X 0,054"" TRUE",1.0,2.0,1.0
JSON activo inventory-products.json,PCN802460,Válvula de expansión EMERSON,1.0,0.0,-1.0
JSON activo inventory-products.json,068Z3209,"Válvula de expansión termostática de rosca, TE 2, R22/R407C. DANFOSS",1.0,0.0,-1.0
JSON activo inventory-products.json,068Z3403,"Válvula de expansión termostática, TE 2, DANFOSS",0.0,1.0,1.0
JSON activo inventory-products.json,VERE12002,Ventilador motor con 2 cables para refrigerador COLDTEK,1.0,0.0,-1.0
JSON activo inventory-products.json,00-122555,Alimentacion de bandeja,1.0,0.0,-1.0
JSON activo inventory-products.json,00-077643-00001,Anillo de amoladora,1.0,0.0,-1.0
JSON activo inventory-products.json,209042C,Bomba dosificadora,1.0,0.0,-1.0
JSON activo inventory-products.json,ITA-130976,Bomba lavaloza E500,1.0,0.0,-1.0
JSON activo inventory-products.json,00-119760-00003,Conjunto de cilindros,1.0,0.0,-1.0
JSON activo inventory-products.json,00-748572,Conjunto de electrodos,0.0,3.0,3.0
JSON activo inventory-products.json,00-0158801,Conjunto de gusanos,1.0,0.0,-1.0
JSON activo inventory-products.json,00-893074,Conjunto de rodamientos,1.0,0.0,-1.0
JSON activo inventory-products.json,00-290372,Cuchillo para picadoras de carne puntas de afilado,1.0,0.0,-1.0
JSON activo inventory-products.json,00-271008,"Disyuntor de vacío, 3/8""",1.0,0.0,-1.0
JSON activo inventory-products.json,00-893535,Embalaje de boquillas,6.0,0.0,-6.0
JSON activo inventory-products.json,00-119922-00001,"Empujador de alimentos, picadora/trituradora",1.0,0.0,-1.0
JSON activo inventory-products.json,00-413302-00001,"Enganche, soporte del piloto",5.0,0.0,-5.0
JSON activo inventory-products.json,01-1000V8-00156,Extractor para horno,1.0,0.0,-1.0
JSON activo inventory-products.json,00-913153,Juego de termostato con perilla y tornillos,2.0,0.0,-2.0
JSON activo inventory-products.json,230020C,Kit de elemento calefactor resistencia Lavaloza E800,2.0,0.0,-2.0
JSON activo inventory-products.json,00-292910,Kit de servicio valvula de vacio CL44,1.0,0.0,-1.0
JSON activo inventory-products.json,00-913102-0049,Kit de soldaduras para perro,4.0,0.0,-4.0
JSON activo inventory-products.json,01-1A1828-00001,Kit de sondas termopar,1.0,0.0,-1.0
JSON activo inventory-products.json,TW-001-09,Kit de terminales,1.0,0.0,-1.0
JSON activo inventory-products.json,01-1000V9-00170,"Modulo de ignición 3 Tfi, sin reinicio BAXTER",1.0,0.0,-1.0
