source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia
155,VJBPF,VJBPF,Valvula junior baja presión p 3/8 fleer,3.0,0.0,0.0,0.0,3.0,,290.0,0,290.0,2026-05-18T00:00:00,Vigencia de precio
156,VJAPB,VJAPB,"Valvula Junior baja presión para barril de 3/8""",3.0,0.0,0.0,0.0,3.0,,300.0,0,300.0,2026-05-18T00:00:00,Vigencia de precio
157,VJBPR,VJBPR,Valvula junior baja presión regulable,3.0,0.0,0.0,0.0,3.0,,330.0,0,330.0,2026-05-18T00:00:00,Vigencia de precio
158,VBPF,VBPF,"Valvula junior baja presiónmod fc/ tuerca y barril 1/4""",5.0,0.0,0.0,0.0,5.0,,300.0,0,300.0,2026-05-18T00:00:00,Vigencia de precio
162,40393 MARS,40393 MARS,"Aspa de 30"", 4A 5/8, 27 grados CW MARS",1.0,1.0,0.0,1.0,1.0,,4100.0,0,4100.0,,Vigencia de precio
163,B28,B28,Banda ancho 16.7mm longitu 787 mm GATE,1.0,1.0,0.0,1.0,1.0,,210.0,0,210.0,,Act Nov 2025
164,PO-A39,PO-A39,Banda V lisa estirada para uso industrial PRO ONE,1.0,1.0,0.0,1.0,1.0,,240.0,0,240.0,,Act Nov 2025
165,PO-A40,PO-A40,Banda V lisa estirada para uso industrial PRO ONE,1.0,1.0,0.0,1.0,1.0,,240.0,0,240.0,,Act Nov 2025
166,27-0459-1,27-0459-1,Bujia de encendido KOBLENS -1,2.0,4.0,0.0,4.0,4.0,,150.0,0,150.0,,Act Nov 2025
167,27-0295-9,27-0295-9,Bujia de encendido KOBLENS -9,2.0,2.0,0.0,2.0,2.0,,150.0,0,150.0,,Act Nov 2025
168,04-0642-1,04-0642-1,Candado KOBLENS,2.0,2.0,0.0,2.0,2.0,,20.0,0,20.0,,Act Nov 2025
169,HCCY2XT02AA999CS,HCCY2XT02AA999CS,Contactor 2P 120V 30A terminal/cubierta HATLAND,1.0,0.0,0.0,0.0,0.0,,875.0,0,875.0,,
170,CWB9-11-30D02,CWB9-11-30D02,Contactor 9 A 24V 50/60Hz WEG,1.0,1.0,0.0,1.0,1.0,,800.0,0,800.0,,Vigencia de precio
171,AH102524,AH102524,Controlador de temperatura BLODGETT 33152,1.0,1.0,0.0,1.0,1.0,,0,210.0,4410.0,,Act Nov 2025
172,ATMR20,ATMR20,"Fusible 600V, 20A rápido 10 x 38",2.0,3.0,0.0,3.0,3.0,,220.0,17.0,577.0,2025-06-01T00:00:00,Vigencia de precio
173,FNM-25,FNM-25,Fusible Bussman de 250vac,0.0,1.0,0.0,1.0,1.0,,120.0,0,120.0,2025-10-16T00:00:00,Act Nov 2025
174,ATMR12,ATMR12,Fusible de ceramica 12A 600V,2.0,2.0,0.0,2.0,2.0,,417.37,0,417.37,2025-02-27T00:00:00,Vigencia de precio
175,MCHF30Z0456,MCHF30Z0456,Fusible de ceramica 13 A para horno MERRYCHEF,2.0,2.0,0.0,2.0,2.0,,0,17.0,357.0,2025-06-01T00:00:00,Vigencia de precio
176,ATQR25,ATQR25,Fusible de ceramica para horno,2.0,1.0,0.0,1.0,1.0,,290.0,0,290.0,2025-02-27T00:00:00,Vigencia de precio
177,FNM-8,FNM-8,Fusible retardado Bussman 250V 8 A,0.0,2.0,0.0,2.0,2.0,,202.74,0,202.74,2026-04-30T00:00:00,Act Nov 2025
178,MCHF30Z1659,MCHF30Z1659,"Fusible, 250 Voltios, 25 Amperios para horno MERRY CHEF",1.0,0.0,0.0,0.0,0.0,,0,62.5,1312.5,2025-06-01T00:00:00,
179,38-0441-6,38-0441-6,Modulo de encendido electronico KOBLENS,1.0,1.0,0.0,1.0,1.0,,150.0,0,150.0,,Act Nov 2025
180,3044300,3044300,Motor de 120 voltios  GARLAND,1.0,1.0,0.0,1.0,1.0,,0.0,1600.0,33600.0,,Vigencia de precio
