source_row,key,modelo,descripcion,stock,tienda,bodega,location_sum,inventario_fisico_final,cantidad_a_importar,costo_unitario_pesos,costo_unitario_dolares,total_costo_unitario_pesos,fecha_adq,vigencia,matched_sources
338,00-919758,00-919758,Cortinas para salpicaduras lavaloza 4 capas,6.0,5.0,0.0,5.0,5.0,5.0,5594.0,0,5594.0,,Act Feb 2026,inventory/data/products-all.csv
339,00-290372,00-290372,Cuchillo para picadoras de carne puntas de afilado,1.0,1.0,0.0,1.0,1.0,1.0,1169.0,0,1169.0,,,inventory/data/products-all.csv
340,00-271008,00-271008,"Disyuntor de vacío, 3/8""",1.0,1.0,0.0,1.0,1.0,1.0,2672.89,0,2672.89,,,inventory/data/products-all.csv
341,00-893535,00-893535,Embalaje de boquillas,1.0,6.0,0.0,6.0,6.0,6.0,1526.89,0,1526.89,2025-06-09T00:00:00,,inventory/data/products-all.csv
342,00-119922-00001,00-119922-00001,"Empujador de alimentos, picadora/trituradora",1.0,1.0,0.0,1.0,1.0,1.0,1623.84,0,1623.84,,,inventory/data/products-all.csv
343,00-413302-00001,00-413302-00001,"Enganche, soporte del piloto",5.0,5.0,0.0,5.0,5.0,5.0,107.5,0,107.5,,,inventory/data/products-all.csv
344,01-1000V8-00156,01-1000V8-00156,Extractor para horno,1.0,1.0,0.0,1.0,1.0,1.0,10233.79,0,10233.79,2025-02-22T00:00:00,,inventory/data/products-all.csv
345,00-913153,00-913153,Juego de termostato con perilla y tornillos,4.0,2.0,0.0,2.0,2.0,2.0,3127.96,0,3127.96,,,inventory/data/products-all.csv
346,230020C,230020C,Kit de elemento calefactor resistencia Lavaloza E800,2.0,2.0,0.0,2.0,2.0,2.0,4538.12,0,4538.12,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
348,00-292910,00-292910,Kit de servicio valvula de vacio CL44,1.0,1.0,0.0,1.0,1.0,1.0,5036.83,0,5036.83,,,inventory/data/products-all.csv
349,00-913102-0049,00-913102-0049,Kit de soldaduras para perro,1.0,4.0,0.0,4.0,4.0,4.0,1366.37,0,1366.37,2025-06-09T00:00:00,,inventory/data/products-all.csv
350,01-1A1828-00001,01-1A1828-00001,Kit de sondas termopar,1.0,1.0,0.0,1.0,1.0,1.0,5663.4225,0,5663.4225,,,inventory/data/products-all.csv
351,TW-001-09,TW-001-09,Kit de terminales,1.0,1.0,0.0,1.0,1.0,1.0,290.0,0,290.0,2025-06-11T00:00:00,,inventory/data/products-all.csv
352,01-1M7311-00001,01-1M7311-00001,Kit sustitucion de luces,2.0,2.0,0.0,2.0,2.0,2.0,1511.18,0,1511.18,,,inventory/data/products-all.csv
353,01-1000V9-00170,01-1000V9-00170,"Modulo de ignición 3 Tfi, sin reinicio BAXTER",1.0,1.0,0.0,1.0,1.0,1.0,11094.69,0,11094.69,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
354,00-958392-000G2,00-958392-000G2,"Montaje de válvula de drenaje, lado derecho",2.0,2.0,0.0,2.0,2.0,2.0,7677.0,0,7677.0,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
355,80629,80629,Motobomba de enjuague e 220/240v - 1PH - 60HZ - ECOMAX 603/503 Lavaloza,1.0,1.0,0.0,1.0,1.0,1.0,10360.0,0,10360.0,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
356,00-437044-00006,00-437044-00006,"Motor, accionamiento del transportador, 208-240/480 V, 60 Hz, 3 PH LAVALOZA C54A",1.0,1.0,0.0,1.0,1.0,1.0,67890.58,0,67890.58,,,inventory/data/products-all.csv
357,00-411242-0000,00-411242-0000,Perilla de control,1.0,1.0,0.0,1.0,1.0,1.0,230.0,0,230.0,2025-06-11T00:00:00,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
358,00-428300-00001,00-428300-00001,"Perilla negra, 2,75 de diámetro",3.0,3.0,0.0,3.0,3.0,3.0,234.01,0,234.01,,,inventory/data/products-all.csv
359,00-938783,00-938783,Placa de fijacion permanente,1.0,1.0,0.0,1.0,1.0,1.0,3617.0,0,3617.0,,,inventory/data/products-all.csv
360,00-938782,00-938782,Placa moledora de carne,1.0,1.0,0.0,1.0,1.0,1.0,3617.0,0,3617.0,,,inventory/data/products-all.csv
361,00-938784,00-938784,Placa moledora de carne,1.0,1.0,0.0,1.0,1.0,1.0,3617.0,0,3617.0,,,inventory/data/products-all.csv
362,00-938785,00-938785,Placa moledora de carne,1.0,1.0,0.0,1.0,1.0,1.0,3617.0,0,3617.0,,,inventory/data/products-all.csv
363,00-938786,00-938786,Placa picadora de carne,1.0,1.0,0.0,1.0,1.0,1.0,3617.0,0,3617.0,,,inventory/data/products-all.csv
364,00-271123,00-271123,Protector de límite alto,1.0,1.0,0.0,1.0,1.0,1.0,2155.0,0,2155.0,,,inventory/data/products-all.csv
365,00-950546-00001,00-950546-00001,Puerta sensor temperatura AM16,1.0,1.0,0.0,1.0,1.0,1.0,99.92,0,99.92,2025-02-22T00:00:00,,inventory/data/products-all.csv
366,00-404060-00001,00-404060-00001,Regulador,9.0,9.0,0.0,9.0,9.0,9.0,0.0,9.4,197.4,,,inventory/data/products-all.csv
368,00-110334,00-110334,"Retén, planetario, HL300",1.0,1.0,0.0,1.0,1.0,1.0,205.96,0,205.96,2025-07-31T00:00:00,,inventory/data/products-all.csv
369,1312641,1312641,"Sierra de 126"" 5/8  x 0.022 Thk. 4T",6.0,6.0,0.0,6.0,6.0,6.0,351.3,0,351.3,,,inventory/data/products-all.csv
370,00-353589-0001,00-353589-0001,Sonda de temperatura,1.0,0.0,0.0,0.0,0.0,0.0,2033.29,0,2033.29,,,inventory/data/products-all.csv
371,00-328994,00-328994,Soporte para sonda,5.0,5.0,0.0,5.0,5.0,5.0,2846.16,0,2846.16,,,inventory/data/products-all.csv
372,00-919363-00PK,00-919363-00PK,Tapón para lavaloza,3.0,3.0,0.0,3.0,3.0,3.0,548.8,0,548.8,2025-02-27T00:00:00,,inventory/data/products-all.csv
373,00-941944-00006,00-941944-00006,Tarjeta de control Master Exe,1.0,1.0,0.0,1.0,1.0,1.0,0.0,855.0,17955.0,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
375,00-410839-00004,00-410839-00004,Termopila VULCAN,2.0,1.0,0.0,1.0,1.0,1.0,1579.04,0,1579.04,,,inventory/data/products-all.csv
376,00-563609,00-563609,Trampa de aire CL44-AM16-LX,1.0,1.0,0.0,1.0,1.0,1.0,3824.94,0,3824.94,2025-02-22T00:00:00,,inventory/data/products-all.csv
377,00-709240-0000A,00-709240-0000A,"Tubo piloto de 3/16"" X 24"", acero revestido de cobre",4.0,4.0,0.0,4.0,4.0,4.0,2424.0,0,2424.0,,,inventory/data/products-all.csv
378,00-959662-00001,00-959662-00001,"Valvula de gas Maxitron 24 V, natural/propano",1.0,1.0,0.0,1.0,1.0,1.0,4050.0,0,4050.0,,,inventory/data/products-all.csv
379,00-292909-00002,00-292909-00002,"Válvula reguladora de vacío, 1/2""",1.0,1.0,0.0,1.0,1.0,1.0,2446.75,0,2446.75,,,inventory/data/products-all.csv
380,00-292909-00003,00-292909-00003,"Válvula reguladora de vacío, 1/2"" Lavaloza AM15",1.0,1.0,0.0,1.0,1.0,1.0,2446.75,0,2446.75,,,inventory/data/products-all.csv
381,00-435968-00001,00-435968-00001,"Válvula solenoide, 1/2"", 120 V",2.0,2.0,0.0,2.0,2.0,2.0,7013.75,0,7013.75,,,inventory/data/products-all.csv
382,00-424940-00001,00-424940-00001,Ventilador para refrigerador de 115v,2.0,0.0,0.0,0.0,0.0,0.0,1537.52,0,1537.52,,,inventory/data/products-all.csv
386,020-000222,020-000222,Agitador de temporizador 115/230  MANITOWOC,1.0,1.0,0.0,1.0,1.0,1.0,2600.0,0,2600.0,,Vigencia de precio,inventory/data/products-all.csv
387,2008939,2008939,Bomba de agua MANITOWOC,1.0,1.0,0.0,1.0,1.0,1.0,7230.0,0,7230.0,2025-10-23T00:00:00,Act Nov 2025,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
388,GBR00969,GBR00969,"Brazo de leva con muelle, delantero KOLD-DRAFT",2.0,2.0,0.0,2.0,2.0,2.0,1700.0,0,1700.0,,Act Nov 2025,inventory/data/products-all.csv
389,443192-02,443192-02,"Capacitor para motor, 5,0MFD, 250 Volt HOSHIZAKI",1.0,1.0,0.0,1.0,1.0,1.0,574.19,0,574.19,,,inventory/data/products-all.csv
390,HQS-WF,HQS-WF,Cartucho de filtro EVERPURE,1.0,0.0,0.0,0.0,0.0,0.0,799.0,0,799.0,,Act Nov 2025,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
391,105012-01,105012-01,Charola deflector B-800 HOSHIZAKI,1.0,1.0,0.0,1.0,1.0,1.0,2901.91,0,2901.91,,,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
393,426799-01,426799-01,Conector para interruptor HOSHIZAKI,4.0,2.0,0.0,2.0,2.0,2.0,426.93,0,426.93,,,inventory/data/products-all.csv
395,2006589,2006589,Contactores 1 pole 115v MANITOWOC,2.0,2.0,0.0,2.0,2.0,2.0,793.0,0,793.0,2025-10-23T00:00:00,Act Nov 2025,inventory/data/local_products.json; inventory/data/kv_products_2026_05_05_19_31_43.json; inventory/data/products-all.csv
396,576517,576517,Control de espesor de hielo GENERICO,10.0,10.0,0.0,10.0,10.0,10.0,211.27,0,211.27,,Act Nov 2025,inventory/data/products-all.csv
