Nombre,Código,Clase de Código de barras,Marca,Código de categoría,unit code,Venta unit code,Comprar unit code,Costo,Precio,Cantidad de alerta,Tasa de impuestos,Método de impuestos,Imagen,Código de la Sub categoría,Variantes de producto,Producto de campo personalizado 1,Producto Campo Personalizadoo 2,Producto Campo Personalizadoo 3,Producto Campo Personalizadoo 4,Producto Campo Personalizadoo 5,Producto Campo Personalizadoo 6,Cantidad,recID,warehouseStock,inventory_import
"Llave de montaje en cubierta de 4 pulgadas cuello osilante 6"" FISHER",3510,code128,FISHER MANUFACURING COMPANNY,2,Pieza,Pieza,Pieza,2804.82,3506.03,0,IVA,Exclusivo,22bc71d69918efda631cb02140a8713d.png,,,,,,,,,0.0,recNAwkSgIJl0Lpf0,"{""tienda"": 0.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 103, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 0.0, ""bodega"": 0.0, ""physicalFinal"": 0.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Cuello curvo para mezcladora 12"" FISHER",54410,code128,FISHER MANUFACURING COMPANNY,2,Pieza,Pieza,Pieza,768.60,960.86,0,IVA,Exclusivo,c7925aae0a2333ce1c3f67c0501c3c5e.png,,,,,,,,,2.0,recLJHd9qUbB8dALR,"{""tienda"": 2.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 99, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 2.0, ""bodega"": 0.0, ""physicalFinal"": 2.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Cuello recto para mezcladora 12"" FISHER",3963,code128,FISHER MANUFACURING COMPANNY,2,Pieza,Pieza,Pieza,752.91,941.14,0,IVA,Exclusivo,4a4a85fd187f4f00f840fdc3ce8f3fe3.png,,,,,,,,,1.0,recNjmd8KFAh6z0Cm,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 100, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Llave mezcladora a cubierta de 4"" con cuello de ganzo KROWNE",11-400L,code128,FISHER MANUFACURING COMPANNY,2,Pieza,Pieza,Pieza,1563.45,1954.31,0,IVA,Exclusivo,8aa3b120da83faa4eab8d7732338db98.png,,,,,,,,,0.0,recirvQfhoou6YzlL,"{""tienda"": 0.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 105, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 0.0, ""bodega"": 0.0, ""physicalFinal"": 0.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Juegos de conectores para mezcladora KROWNE,21-406L,code128,KROWNE,2,Pieza,Pieza,Pieza,252.17,315.21,0,IVA,Exclusivo,df7550bab593d9de4a36d274e59ebbb8.png,,,,,,,,,5.0,rec0pSdMTdG1vsJOg,"{""tienda"": 5.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 102, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 5.0, ""bodega"": 0.0, ""physicalFinal"": 5.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Removedor de cal UNOX.D&CAL,DB1085A0,code128,UNOX,3,Pieza,Pieza,Pieza,1282.85,1282.85,0,IVA,Exclusivo,ce4b41c3f0bbcbbd9f835d194a158e16.jpeg,,,,,,,,,1.0,reciLqB3W4v66Ctwa,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 23, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Termostato CAEM 50-300 C bulvo largo UNIVERSAL,CAEM-50300BL,code128,Generales,2,Pieza,Pieza,Pieza,275.72,350.00,0,IVA,Exclusivo,bde6b39f4071a1df1c04b045416a8ac3.png,,,,,,,,,4.0,rec7TdtHAnYAupXqy,"{""tienda"": 4.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 603, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 4.0, ""bodega"": 0.0, ""physicalFinal"": 4.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Termostato CAEM 60-220 tuerca 1/2, bulbo acero inoxidable UNIVERSAL",CAEM-60220,code128,Generales,2,Pieza,Pieza,Pieza,430.00,550.00,0,IVA,Exclusivo,06877b0d6afeec798aa7962d4c4a8601.png,,,,,,,,,4.0,recffKM6RjrDGUryw,"{""tienda"": 4.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 605, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 4.0, ""bodega"": 0.0, ""physicalFinal"": 4.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
Termostato vastago largo 575F Calibrado TORREY,1F-XBB-B0323,code128,Generales,2,Pieza,Pieza,Pieza,1520.00,1900.00,0,IVA,Exclusivo,4467791dbca3034744612b93e977db72.png,,,,,,,,,1.0,recAgvkdV15qpRCPi,"{""tienda"": 1.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 608, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 1.0, ""bodega"": 0.0, ""physicalFinal"": 1.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
"Valvula de gas 1/2"" 225,000 BTU 1/4"" CCT para Freidora HONEYWELL",VS820,code128,Generales,2,Pieza,Pieza,Pieza,3550.00,4437.50,0,IVA,Exclusivo,f79fb725fb9c24d7c579ac8a86d79cf2.png,,,,,,,,,3.0,recd1722uVkwcasAA,"{""tienda"": 3.0, ""bodega"": 0.0}","{""id"": ""kcv-may-2026-apply-20260629-101516"", ""action"": ""update"", ""source"": ""Inventario de TIENDA KCV MAYO 2026 Final (CIERRE).xlsx"", ""sourceRow"": 610, ""stockSource"": ""INVENTARIO FISICO FINAL"", ""tienda"": 3.0, ""bodega"": 0.0, ""physicalFinal"": 3.0, ""updatedAt"": ""2026-06-29T10:15:16""}"
